,date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,name,uf
11319987,1961-01-01 00:00:00,82825,,,,33.2,,,,,,,2.3,,1.1,84.75,0.666667,Porto Velho,RO
11319988,1961-01-01 12:00:00,82825,,23.8,23.0,,20.8,93.0,998.6,,5.0,1.0,,10.0,,,,Porto Velho,RO
11319989,1961-01-01 18:00:00,82825,,31.1,26.5,,,68.0,997.2,,0.0,0.0,,9.0,,,,Porto Velho,RO
11319990,1961-01-02 00:00:00,82825,,24.3,23.0,32.2,,89.0,997.1,,32.0,1.0,4.7,10.0,1.5,87.25,0.733333,Porto Velho,RO
11319991,1961-01-02 12:00:00,82825,0.3,26.0,24.6,,21.0,89.0,998.8,,36.0,1.0,,10.0,,,,Porto Velho,RO
11319992,1961-01-02 18:00:00,82825,,30.2,26.8,,,76.0,997.0,,23.0,1.0,,9.0,,,,Porto Velho,RO
11319993,1961-01-03 00:00:00,82825,,24.8,23.8,31.2,,92.0,997.1,,5.0,0.2,3.5,10.0,1.5,88.25,2.0,Porto Velho,RO
11319994,1961-01-03 12:00:00,82825,4.9,24.4,23.7,,22.1,95.0,999.6,,36.0,1.0,,10.0,,,,Porto Velho,RO
11319995,1961-01-03 18:00:00,82825,,27.1,24.8,,,82.0,996.8,,36.0,3.0,,10.0,,,,Porto Velho,RO
11319996,1961-01-04 00:00:00,82825,,26.2,24.7,30.2,,88.0,996.8,,23.0,2.0,1.0,6.0,1.7,86.25,2.0,Porto Velho,RO
11319997,1961-01-04 12:00:00,82825,0.0,24.0,23.4,,21.3,95.0,997.8,,5.0,1.0,,10.0,,,,Porto Velho,RO
11319998,1961-01-04 18:00:00,82825,,26.8,23.8,,,76.0,997.0,,32.0,5.0,,10.0,,,,Porto Velho,RO
11319999,1961-01-05 00:00:00,82825,,26.2,24.5,31.8,,87.0,995.9,,0.0,0.0,1.6,7.0,1.3,86.5,0.666667,Porto Velho,RO
11320000,1961-01-05 12:00:00,82825,0.0,25.1,24.1,,20.4,92.0,998.0,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320001,1961-01-05 18:00:00,82825,,31.1,26.2,,,66.0,994.6,,14.0,2.0,,10.0,,,,Porto Velho,RO
11320002,1961-01-06 00:00:00,82825,,22.4,21.8,32.4,,94.0,996.7,,0.0,0.0,8.5,7.0,1.0,84.75,1.0,Porto Velho,RO
11320003,1961-01-06 12:00:00,82825,2.1,23.6,22.6,,19.5,92.0,998.4,,14.0,1.0,,7.0,,,,Porto Velho,RO
11320004,1961-01-06 18:00:00,82825,,32.1,26.6,,,63.0,995.5,,23.0,1.0,,9.0,,,,Porto Velho,RO
11320005,1961-01-07 00:00:00,82825,,25.8,24.8,29.4,,92.0,996.3,,36.0,1.0,3.4,5.0,1.7,91.0,1.333333,Porto Velho,RO
11320006,1961-01-07 12:00:00,82825,1.8,23.6,23.3,,20.9,97.0,1000.6,,5.0,2.0,,10.0,,,,Porto Velho,RO
11320007,1961-01-07 18:00:00,82825,,28.1,25.4,,,79.0,997.5,,27.0,1.0,,9.0,,,,Porto Velho,RO
11320008,1961-01-08 00:00:00,82825,,24.8,24.0,32.9,,94.0,997.5,,5.0,1.0,5.4,9.0,0.7,88.0,1.333333,Porto Velho,RO
11320009,1961-01-08 12:00:00,82825,20.4,24.6,23.7,,20.4,93.0,998.6,,0.0,0.0,,9.0,,,,Porto Velho,RO
11320010,1961-01-08 18:00:00,82825,,26.9,25.0,,,85.0,996.0,,36.0,3.0,,9.0,,,,Porto Velho,RO
11320011,1961-01-09 00:00:00,82825,,26.4,24.8,30.3,,87.0,996.2,,36.0,1.0,3.7,10.0,1.2,87.75,2.0,Porto Velho,RO
11320012,1961-01-09 12:00:00,82825,4.6,24.3,23.5,,21.6,94.0,998.7,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320013,1961-01-09 18:00:00,82825,,28.0,25.2,,,79.0,996.2,,23.0,3.0,,10.0,,,,Porto Velho,RO
11320014,1961-01-10 00:00:00,82825,,25.4,24.0,28.0,,89.0,995.5,,23.0,2.0,0.2,4.0,1.4,92.0,0.666667,Porto Velho,RO
11320015,1961-01-10 12:00:00,82825,0.0,24.1,23.6,,21.7,96.0,998.6,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320016,1961-01-10 18:00:00,82825,,26.6,24.9,,,86.0,998.4,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320017,1961-01-11 00:00:00,82825,,24.6,23.7,32.9,,93.0,997.0,,5.0,1.0,1.9,3.0,0.9,88.0,2.0,Porto Velho,RO
11320018,1961-01-11 12:00:00,82825,0.2,24.8,24.0,,21.1,94.0,998.8,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320019,1961-01-11 18:00:00,82825,,28.7,25.7,,,78.0,997.0,,5.0,5.0,,10.0,,,,Porto Velho,RO
